Province Id,Province Name,FED Id,FED Name,Winning Pid,Ballots,Candidate Pid,Votes
NL,Newfoundland and Labrador,10001,Avalon,LIB,33091,LIB,14866
NL,Newfoundland and Labrador,10001,Avalon,LIB,33091,CPC,11542
NL,Newfoundland and Labrador,10001,Avalon,LIB,33091,NDP,5707
NL,Newfoundland and Labrador,10001,Avalon,LIB,33091,GRN,714
NL,Newfoundland and Labrador,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,28733,LIB,20089
NL,Newfoundland and Labrador,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,28733,CPC,4354
NL,Newfoundland and Labrador,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,28733,NDP,3577
NL,Newfoundland and Labrador,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,28733,GRN,568
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,26472,LIB,17956
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,26472,NDP,4603
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,26472,CPC,2799
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,26472,NLFP,964
NL,Newfoundland and Labrador,10004,Labrador,LIB,7787,LIB,5426
NL,Newfoundland and Labrador,10004,Labrador,LIB,7787,NDP,1378
NL,Newfoundland and Labrador,10004,Labrador,LIB,7787,CPC,615
NL,Newfoundland and Labrador,10004,Labrador,LIB,7787,GRN,302
NL,Newfoundland and Labrador,10005,Random--Burin--St. George's,LIB,23495,LIB,12557
NL,Newfoundland and Labrador,10005,Random--Burin--St. George's,LIB,23495,NDP,5563
NL,Newfoundland and Labrador,10005,Random--Burin--St. George's,LIB,23495,CPC,4791
NL,Newfoundland and Labrador,10005,Random--Burin--St. George's,LIB,23495,GRN,462
NL,Newfoundland and Labrador,10006,St. John's East,NDP,41560,NDP,30881
NL,Newfoundland and Labrador,10006,St. John's East,NDP,41560,LIB,5211
NL,Newfoundland and Labrador,10006,St. John's East,NDP,41560,CPC,3836
NL,Newfoundland and Labrador,10006,St. John's East,NDP,41560,PC,578
