Province Id,Province Name,FED Id,FED Name,Winning Pid,Ballots,Candidate Pid,Votes
NL,Newfoundland and Labrador,10001,Avalon,LIB,41731,LIB,19122
NL,Newfoundland and Labrador,10001,Avalon,LIB,41731,CPC,12855
NL,Newfoundland and Labrador,10001,Avalon,LIB,41731,NDP,7142
NL,Newfoundland and Labrador,10001,Avalon,LIB,41731,GRN,2215
NL,Newfoundland and Labrador,10002,Bonavista--Burin--Trinity,LIB,32788,LIB,14707
NL,Newfoundland and Labrador,10002,Bonavista--Burin--Trinity,LIB,32788,CPC,12697
NL,Newfoundland and Labrador,10002,Bonavista--Burin--Trinity,LIB,32788,NDP,3855
NL,Newfoundland and Labrador,10002,Bonavista--Burin--Trinity,LIB,32788,GRN,920
NL,Newfoundland and Labrador,10003,Coast of Bays--Central--Notre Dame,LIB,34952,LIB,16514
NL,Newfoundland and Labrador,10003,Coast of Bays--Central--Notre Dame,LIB,34952,CPC,12081
NL,Newfoundland and Labrador,10003,Coast of Bays--Central--Notre Dame,LIB,34952,NDP,4224
NL,Newfoundland and Labrador,10003,Coast of Bays--Central--Notre Dame,LIB,34952,GRN,1363
NL,Newfoundland and Labrador,10004,Labrador,LIB,11558,LIB,4851
NL,Newfoundland and Labrador,10004,Labrador,LIB,11558,CPC,3548
NL,Newfoundland and Labrador,10004,Labrador,LIB,11558,NDP,2796
NL,Newfoundland and Labrador,10004,Labrador,LIB,11558,GRN,224
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,39002,LIB,18199
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,39002,CPC,10873
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,39002,NDP,7609
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,39002,GRN,1334
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,39002,VCP,411
NL,Newfoundland and Labrador,10006,St. John's East,NDP,45600,NDP,21148
NL,Newfoundland and Labrador,10006,St. John's East,NDP,45600,LIB,14962
NL,Newfoundland and Labrador,10006,St. John's East,NDP,45600,CPC,8141
NL,Newfoundland and Labrador,10006,St. John's East,NDP,45600,GRN,821
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,LIB,41258,LIB,20793
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,LIB,41258,NDP,10890
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,LIB,41258,CPC,7767
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,LIB,41258,GRN,740
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,LIB,41258,PPC,335
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,LIB,41258,CHP,141
PE,Prince Edward Island,11001,Cardigan,LIB,22399,LIB,10939
PE,Prince Edward Island,11001,Cardigan,LIB,22399,CPC,6439
PE,Prince Edward Island,11001,Cardigan,LIB,22399,GRN,3068
PE,Prince Edward Island,11001,Cardigan,LIB,22399,NDP,1481
PE,Prince Edward Island,11001,Cardigan,LIB,22399,CHP,240
PE,Prince Edward Island,11002,Charlottetown,LIB,20184,LIB,8812
PE,Prince Edward Island,11002,Charlottetown,LIB,20184,GRN,4648
PE,Prince Edward Island,11002,Charlottetown,LIB,20184,CPC,4040
PE,Prince Edward Island,11002,Charlottetown,LIB,20184,NDP,2238
PE,Prince Edward Island,11002,Charlottetown,LIB,20184,CHP,172
PE,Prince Edward Island,11003,Egmont,LIB,20452,LIB,8016
PE,Prince Edward Island,11003,Egmont,LIB,20452,CPC,6934
PE,Prince Edward Island,11003,Egmont,LIB,20452,GRN,3998
PE,Prince Edward Island,11003,Egmont,LIB,20452,NDP,1230
PE,Prince Edward Island,11004,Malpeque,LIB,23327,LIB,9533
PE,Prince Edward Island,11004,Malpeque,LIB,23327,GRN,6103
PE,Prince Edward Island,11004,Malpeque,LIB,23327,CPC,5908
PE,Prince Edward Island,11004,Malpeque,LIB,23327,NDP,1495
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,43541,LIB,16694
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,43541,CPC,14821
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,43541,NDP,6354
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,43541,GRN,3321
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,43541,PPC,925
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,43541,IND,685
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,43541,NCA,140
NS,Nova Scotia,12002,Central Nova,LIB,44882,LIB,20718
NS,Nova Scotia,12002,Central Nova,LIB,44882,CPC,13201
NS,Nova Scotia,12002,Central Nova,LIB,44882,NDP,5806
NS,Nova Scotia,12002,Central Nova,LIB,44882,GRN,3478
NS,Nova Scotia,12002,Central Nova,LIB,44882,PPC,938
NS,Nova Scotia,12002,Central Nova,LIB,44882,COM,180
NS,Nova Scotia,12002,Central Nova,LIB,44882,IND,149
NS,Nova Scotia,12003,Cumberland--Colchester,LIB,45897,LIB,16672
NS,Nova Scotia,12003,Cumberland--Colchester,LIB,45897,CPC,16219
NS,Nova Scotia,12003,Cumberland--Colchester,LIB,45897,GRN,6015
NS,Nova Scotia,12003,Cumberland--Colchester,LIB,45897,NDP,5451
NS,Nova Scotia,12003,Cumberland--Colchester,LIB,45897,PPC,608
NS,Nova Scotia,12003,Cumberland--Colchester,LIB,45897,IND,232
