Province Id,Province Name,FED Id,FED Name,Winning Pid,Ballots,Candidate Pid,Votes
NL,Newfoundland and Labrador,10001,Avalon,LIB,36574,LIB,16008
NL,Newfoundland and Labrador,10001,Avalon,LIB,36574,CPC,14749
NL,Newfoundland and Labrador,10001,Avalon,LIB,36574,NDP,5157
NL,Newfoundland and Labrador,10001,Avalon,LIB,36574,IND,276
NL,Newfoundland and Labrador,10001,Avalon,LIB,36574,GRN,218
NL,Newfoundland and Labrador,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,31308,LIB,17977
NL,Newfoundland and Labrador,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,31308,CPC,8595
NL,Newfoundland and Labrador,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,31308,NDP,4306
NL,Newfoundland and Labrador,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,31308,GRN,279
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,30111,LIB,17119
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,30111,CPC,7559
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,30111,NDP,4751
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,30111,IND,332
NL,Newfoundland and Labrador,10003,Humber--St. Barbe--Baie Verte,LIB,30111,GRN,253
NL,Newfoundland and Labrador,10004,Labrador,CPC,10744,CPC,4256
NL,Newfoundland and Labrador,10004,Labrador,CPC,10744,LIB,4177
NL,Newfoundland and Labrador,10004,Labrador,CPC,10744,NDP,2120
NL,Newfoundland and Labrador,10004,Labrador,CPC,10744,GRN,139
NL,Newfoundland and Labrador,10005,Random--Burin--St. George's,LIB,26128,LIB,12914
NL,Newfoundland and Labrador,10005,Random--Burin--St. George's,LIB,26128,CPC,8322
NL,Newfoundland and Labrador,10005,Random--Burin--St. George's,LIB,26128,NDP,4465
NL,Newfoundland and Labrador,10005,Random--Burin--St. George's,LIB,26128,GRN,307
NL,Newfoundland and Labrador,10006,St. John's East,NDP,44208,NDP,31388
NL,Newfoundland and Labrador,10006,St. John's East,NDP,44208,CPC,9198
NL,Newfoundland and Labrador,10006,St. John's East,NDP,44208,LIB,3019
NL,Newfoundland and Labrador,10006,St. John's East,NDP,44208,GRN,467
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,NDP,39093,NDP,18681
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,NDP,39093,LIB,11130
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,NDP,39093,CPC,8883
NL,Newfoundland and Labrador,10007,St. John's South--Mount Pearl,NDP,39093,GRN,291
PE,Prince Edward Island,11001,Cardigan,LIB,21238,LIB,10486
PE,Prince Edward Island,11001,Cardigan,LIB,21238,CPC,8107
PE,Prince Edward Island,11001,Cardigan,LIB,21238,NDP,2164
PE,Prince Edward Island,11001,Cardigan,LIB,21238,GRN,373
PE,Prince Edward Island,11002,Charlottetown,LIB,18581,LIB,7292
PE,Prince Edward Island,11002,Charlottetown,LIB,18581,CPC,6040
PE,Prince Edward Island,11002,Charlottetown,LIB,18581,NDP,4632
PE,Prince Edward Island,11002,Charlottetown,LIB,18581,GRN,417
PE,Prince Edward Island,11002,Charlottetown,LIB,18581,CHP,87
PE,Prince Edward Island,11003,Egmont,CPC,19308,CPC,10467
PE,Prince Edward Island,11003,Egmont,CPC,19308,LIB,5997
PE,Prince Edward Island,11003,Egmont,CPC,19308,NDP,2369
PE,Prince Edward Island,11003,Egmont,CPC,19308,GRN,320
PE,Prince Edward Island,11004,Malpeque,LIB,20384,LIB,8605
PE,Prince Edward Island,11004,Malpeque,LIB,20384,CPC,7934
PE,Prince Edward Island,11004,Malpeque,LIB,20384,NDP,2970
PE,Prince Edward Island,11004,Malpeque,LIB,20384,GRN,785
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,35812,LIB,16478
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,35812,CPC,10873
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,35812,NDP,6984
NS,Nova Scotia,12001,Cape Breton--Canso,LIB,35812,GRN,1141
NS,Nova Scotia,12002,Central Nova,CPC,38251,CPC,21593
NS,Nova Scotia,12002,Central Nova,CPC,38251,NDP,9412
NS,Nova Scotia,12002,Central Nova,CPC,38251,LIB,5614
