Province Id,Province Name,FED Id,FED Name,Winning Pid,Ballots,Candidate Pid,Votes
NL,Newfoundland and Labrador,10001,Avalon,LIB,42248,LIB,23528
NL,Newfoundland and Labrador,10001,Avalon,LIB,42248,NOA,7501
NL,Newfoundland and Labrador,10001,Avalon,LIB,42248,NDP,6075
NL,Newfoundland and Labrador,10001,Avalon,LIB,42248,CPC,4670
NL,Newfoundland and Labrador,10001,Avalon,LIB,42248,GRN,228
NL,Newfoundland and Labrador,10001,Avalon,LIB,42248,FD,84
NL,Newfoundland and Labrador,10002,Bonavista--Burin--Trinity,LIB,35265,LIB,28704
NL,Newfoundland and Labrador,10002,Bonavista--Burin--Trinity,LIB,35265,CPC,3534
NL,Newfoundland and Labrador,10002,Bonavista--Burin--Trinity,LIB,35265,NDP,2557
NL,Newfoundland and Labrador,10002,Bonavista--Burin--Trinity,LIB,35265,GRN,297
NL,Newfoundland and Labrador,10003,Coast of Bays--Central--Notre Dame,LIB,35593,LIB,26523
NL,Newfoundland and Labrador,10003,Coast of Bays--Central--Notre Dame,LIB,35593,CPC,6479
NL,Newfoundland and Labrador,10003,Coast of Bays--Central--Notre Dame,LIB,35593,NDP,2175
NL,Newfoundland and Labrador,10003,Coast of Bays--Central--Notre Dame,LIB,35593,GRN,271
NL,Newfoundland and Labrador,10004,Labrador,LIB,12426,LIB,8878
NL,Newfoundland and Labrador,10004,Labrador,LIB,12426,NDP,1779
NL,Newfoundland and Labrador,10004,Labrador,LIB,12426,CPC,1716
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,41932,LIB,30889
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,41932,CPC,5085
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,41932,NDP,4739
NL,Newfoundland and Labrador,10005,Long Range Mountains,LIB,41932,GRN,1111
NL,Newfoundland and Labrador,10006,St. John's East,LIB,44991,LIB,20974
NL,Newfoundland and Labrador,10006,St. John's East,LIB,44991,NDP,20328
NL,Newfoundland and Labrador,10006,St. John's East,LIB,44991,CPC,2938
